Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm
2009-01-16,Albury,14.9,26.7,0,NULL,46,20,1014.1,1012.7,18,25.5
2009-01-17,Albury,10.5,28.4,0,NULL,35,16,1019.7,1017.4,16,25.8
2009-01-18,Albury,11.3,32.2,0,NULL,34,17,1019.7,1016.2,20.9,30.5
2009-01-19,Albury,13.9,36.6,0,NULL,39,10,1015.8,1010.6,22,34.4
2009-01-20,Albury,18.6,39.9,0,NULL,36,21,1010.1,1004.8,26.8,37.7
2009-01-21,Albury,19.3,38.1,0.8,NULL,48,17,1009.6,1005.9,27.3,36.1
2009-01-22,Albury,24.4,34,0.6,NULL,60,39,1005.3,997.8,26.1,33.1
2009-01-23,Albury,18.8,35.2,6.4,NULL,43,28,1007.9,1003.9,22.8,33
2009-01-24,Albury,20.8,30.6,0,NULL,41,21,1005.4,1007.6,23.3,29.7
2009-01-25,Albury,14,34.3,0,NULL,44,10,1016.5,1014.6,21.2,32.1
2009-01-26,Albury,15.7,38.4,0,NULL,48,12,1017.7,1014.6,23.4,36.5
2009-01-27,Albury,18.5,38.2,0,NULL,48,25,1017.8,1014.1,25.8,36.2
2009-01-28,Albury,20.4,40.7,0,NULL,45,15,1014.9,1011.6,28.2,39.2
2009-01-29,Albury,21.8,41.5,0,NULL,38,13,1015.7,1011.8,29,40.1
2009-01-30,Albury,22.3,42.9,0,NULL,37,11,1014.6,1010.2,29.2,41.2
2009-01-31,Albury,22,42.7,0,NULL,33,11,1014.2,1010.5,29.9,42
2009-02-01,Albury,28,43.1,0,NULL,27,9,1012.5,1008.7,32.4,41.9
2009-02-02,Albury,24.4,38.3,0.2,NULL,32,21,1011.7,1007.4,28.8,37.1
2009-02-03,Albury,21.5,37.7,0,NULL,51,21,1009.2,1005.7,27.2,36.2
2009-02-04,Albury,21.7,36.9,0,NULL,53,26,1008.8,1004.7,25.5,35.2
2009-02-05,Albury,21.5,41.2,0,NULL,48,15,1005.9,1002.6,26.5,39.7
2009-02-06,Albury,23.5,42.2,0,NULL,39,8,1008,1005,28.7,41.6
2009-02-07,Albury,22.3,44.8,0,NULL,36,11,1008.2,1003.8,29.6,43.4
2009-02-08,Albury,28.3,40.2,0,NULL,20,19,1007,1006.5,34.5,38.5
2009-02-09,Albury,18.4,31.2,0.4,NULL,66,31,1009.3,1007.8,18.7,29.4
2008-07-01,Brisbane,10.3,25.2,0,1.4,81,37,1019.6,1014.8,14.9,24.6
2008-07-02,Brisbane,8.1,22.9,0,2,41,30,1018.8,1015,16.2,22.4
2008-07-03,Brisbane,9.7,22.4,0,5.8,55,52,1021.4,1019.1,15.4,21.3
2008-07-04,Brisbane,11.8,20,0.8,1.8,76,53,1023.5,1021.7,14.1,19.6
2008-07-05,Brisbane,12.3,16.7,0,2,81,89,1027.3,1026.2,16.1,15
2008-07-06,Brisbane,12.6,21.5,16.2,5.2,78,52,1028.5,1025.7,15.9,20
2008-07-07,Brisbane,12.9,21.9,0,2.4,83,63,1026.9,1023.1,14.7,20.1
2008-07-08,Brisbane,14.5,17.4,24.2,2,94,73,1024,1019.3,14.7,17
2008-07-09,Brisbane,6,16.7,3.8,1,48,34,1022.6,1020.2,12.4,16.2
2008-07-10,Brisbane,10.3,19.7,0.2,4,47,34,1021.8,1017,13.2,18.8
2008-07-11,Brisbane,6.6,19.6,0,4,48,38,1021.7,1019.4,14.2,18.7
2008-07-12,Brisbane,7.9,21.1,0,2.2,60,48,1025.9,1023.4,12.8,19.3
2008-07-13,Brisbane,12,22.8,0,3,72,69,1026.6,1023.3,15.3,21.2
2008-07-14,Brisbane,13.6,25.7,0,1,86,65,1025.3,1021,18.3,23.3
2008-07-15,Brisbane,16.7,24.8,0,1.2,80,65,1022.2,1018.7,19.1,23.4
2008-07-16,Brisbane,16.5,18.9,5.4,2.6,93,71,1020.1,1017.8,17.1,18.7
2008-07-17,Brisbane,12.2,21.5,2.8,0.8,80,57,1020.6,1016.1,15.6,21.2
2008-07-18,Brisbane,9.4,25.4,0,1.2,72,34,1017.3,1011.9,15.2,25
2008-07-19,Brisbane,6.8,22.9,0,3.2,55,25,1018.3,1015.7,15.4,22.4
2008-07-20,Brisbane,7.5,22.9,0,3.4,60,45,1020.6,1015.4,13.6,21.3
2008-07-21,Brisbane,12.5,22.8,0,2.2,83,54,1014.9,1013.8,17.4,18.7
2008-07-22,Brisbane,12.1,20.4,0,3.6,48,52,1022.1,1021.3,16.6,18.7
2008-07-23,Brisbane,12.5,15.7,0.2,4.4,73,77,1026.7,1023.1,12.7,15.2
2008-07-24,Brisbane,12.4,14.3,12.6,0.6,92,NULL,1021,NULL,12.9,NULL
2008-07-25,Brisbane,12.5,18.9,22.4,0.6,86,67,1014.8,1014.1,13.8,17.9
2008-01-15,Canberra,15.4,33.8,0,5.2,70,26,1014.2,1009,18,31.7
2008-01-16,Canberra,17.9,33.2,0,10.4,58,62,1008.5,1006.1,24.5,23.5
2008-01-17,Canberra,15.2,25.1,4.8,6.4,62,42,1016.8,1015,17.1,23.9
