country,designation,points,price,province,region_1,region_2,variety,winery
Argentina,,85,12,Other,Famatina Valley,,Malbec,Las Vides
Germany,Piesporter Goldtröpfchen Auslese Goldkap,92,48,Mosel-Saar-Ruwer,,,Riesling,Kurt Hain
Spain,Bla Bla Bla,83,15,Spanish Islands,Vi de la Terra Mallorca,,Premsal,Terra de Falanis
Canada,,85,12,Ontario,Niagara Peninsula,,Riesling,Cave Spring
US,Sierra Mar Vineyard,86,55,California,Santa Lucia Highlands,Central Coast,Pinot Noir,Bernardus
Argentina,Seleccionada,86,18,Mendoza Province,Mendoza,,Bonarda,Alma del Sur
Spain,Vergel Joven,84,14,Levante,Alicante,,Red Blend,La Bodega de Pinoso
Italy,,89,23,Tuscany,Rosso di Montalcino,,Sangiovese Grosso,La Mannella
Germany,Ürziger Würzgarten Kabinett,89,19,Mosel,,,Riesling,Karl Erbes
Spain,Señorio de Garci Grande,85,14,Northern Spain,Rueda,,Verdejo,Bodegas Garci Grande
Argentina,Los Cardos,85,12,Mendoza Province,Mendoza,,Malbec,Doña Paula
US,Seco Highlands Estate,94,35,California,Arroyo Seco,Central Coast,Pinot Noir,Kendall-Jackson
Spain,,87,22,Northern Spain,Bierzo,,Godello,Luna Beberide
US,Rose Wine,90,12,California,Santa Ynez Valley,Central Coast,Rosé,Foley & Phillips
Argentina,Barrel Select,85,14,Mendoza Province,Mendoza,,Chardonnay,Bodega Norton
Germany,Mettenheimer,89,14,Rheinhessen,,,Pinot Noir,Schäfer
US,,81,24,California,Napa County,Napa,Merlot,Irish Monkey Cellars
US,Pagani Reserve,91,40,California,Sonoma Valley,Sonoma,Zinfandel,St. Francis
US,Point Break,86,24,California,North Coast,North Coast,Red Blend,Longboard
Italy,Bussia Riserva,91,,Piedmont,Barolo,,Nebbiolo,Silvano Bolmida
New Zealand,,84,,Martinborough,,,Syrah,Kusuda
US,JK's,90,24,California,Livermore Valley,Central Coast,Cabernet Sauvignon,Mitchell Katz Winery
France,Grande Cuvée la Chaudouillonne,91,,Loire Valley,Sancerre,,Sauvignon Blanc,Fournier Père et Fils
